Site_Name,Month,Day,Year,Time,AM_PM,Level,Unit
SS,7,24,2021,1:30,AM,209,mm
SS,7,24,2021,1:30,PM,54,mm
SS,7,24,2021,1:35,AM,212,mm
SS,7,24,2021,1:35,PM,47,mm
SS,7,24,2021,1:40,AM,204,mm
SS,7,24,2021,1:40,PM,47,mm
SS,7,24,2021,1:45,AM,195,mm
SS,7,24,2021,1:45,PM,54,mm
SS,7,24,2021,1:50,AM,189,mm
SS,7,24,2021,1:50,PM,48,mm
SS,7,24,2021,1:55,AM,184,mm
SS,7,24,2021,1:55,PM,47,mm
SS,7,24,2021,2:00,AM,193,mm
SS,7,24,2021,2:00,PM,53,mm
SS,7,24,2021,2:05,AM,186,mm
SS,7,24,2021,2:05,PM,45,mm
SS,7,24,2021,2:10,AM,183,mm
SS,7,24,2021,2:10,PM,44,mm
SS,7,24,2021,2:15,AM,185,mm
SS,7,24,2021,2:15,PM,50,mm
SS,7,24,2021,2:20,AM,176,mm
SS,7,24,2021,2:20,PM,44,mm
SS,7,24,2021,2:25,AM,174,mm
SS,7,24,2021,2:25,PM,44,mm
SS,7,24,2021,2:30,AM,175,mm
SS,7,24,2021,2:30,PM,49,mm
SS,7,24,2021,2:35,AM,168,mm
SS,7,24,2021,2:35,PM,43,mm
SS,7,24,2021,2:40,AM,166,mm
SS,7,24,2021,2:40,PM,42,mm
SS,7,24,2021,2:45,AM,170,mm
SS,7,24,2021,2:45,PM,49,mm
SS,7,24,2021,2:50,AM,162,mm
SS,7,24,2021,2:50,PM,42,mm
SS,7,24,2021,2:55,AM,158,mm
SS,7,24,2021,2:55,PM,40,mm
SS,7,24,2021,3:00,AM,164,mm
SS,7,24,2021,3:00,PM,46,mm
SS,7,24,2021,3:05,AM,157,mm
SS,7,24,2021,3:05,PM,40,mm
SS,7,24,2021,3:10,AM,155,mm
SS,7,24,2021,3:10,PM,38,mm
SS,7,24,2021,3:15,AM,159,mm
SS,7,24,2021,3:15,PM,45,mm
SS,7,24,2021,3:20,AM,152,mm
SS,7,24,2021,3:20,PM,38,mm
SS,7,24,2021,3:25,AM,151,mm
SS,7,24,2021,3:25,PM,37,mm
SS,7,24,2021,3:30,AM,155,mm
SS,7,24,2021,3:30,PM,45,mm
